"name","slug","desc","totRating","avgRating","totLearningMentorshipRating","avgLearningMentorshipRating","totMeaningfulWorkRating","avgMeaningfulWorkRating","totWorkLifeBalanceRating","avgWorkLifeBalanceRating","logoSrc","uniqueIdentifier","numRatings"
"InfoScout","infoscout","We are America's richest source of consumer purchase data. By capturing intent, behavior, and attitude through our mobile apps we have created the perfect data source to power your insights.",10,"5.0",10,"5.0",10,"5.0",10,"5.0","http://officefetish.co/wp-content/uploads/2015/08/logo42.png","c102",2
"TunnelBear ","tunnelbear",,4,"4.0",4,"4.0",5,"5.0",5,"5.0",,"c377",1
"TD Securities","td-securities","TD Securities is a Canadian investment bank and financial services provider that offers advisory and capital market services to corporate, government, and institutional clients worldwide.",7,"3.5",6,"3.0",5,"2.5",8,"4.0","https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAYcAAAAJGQwYWFhNTYzLTZjYzYtNGI5Yi05MWZjLTEyOWVlZWEyNjcwYg.png","c85",2
"Cardiogram","cardiogram",,5,"5.0",4,"4.0",5,"5.0",4,"4.0",,"c326",1
"Grand River Foods","grand-river-foods",,4,"4.0",4,"4.0",5,"5.0",5,"5.0",,"c254",1
"Thoughtworks","thoughtworks","ThoughtWorks is a privately owned, global technology company. It provides software design and delivery, and pioneering tools and consulting services. The company is closely associated with the movement for agile software development, and has contributed to a range of open source products.",6,"3.0",6,"3.0",6,"3.0",10,"5.0","https://avatars3.githubusercontent.com/u/168376?v=3&s=200","c156",2
"LinkedIn","linkedin","LinkedIn, a professional networking site, allows its members to create business connections, search for jobs, and find potential clients.",29,"4.8",30,"5.0",29,"4.8",29,"4.8","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1398126453/adu2g57bgen4u9lb1kb1.png","c24",6
"WhatsApp","whatsapp","WhatsApp is a proprietary, cross-platform, free instant messaging subscription service for smartphones.",0,"0.0",0,"0.0",0,"0.0",0,"0.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1456254826/lcjb9cnsapslbroh2fiq.png","c56",0
"SideFX","sidefx","",16,"4.0",15,"3.8",18,"4.5",13,"3.3","https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Houdini3D_icon.png/220px-Houdini3D_icon.png","c71",4
"Lightspeed","lightspeed",,4,"4.0",4,"4.0",4,"4.0",5,"5.0",,"c298",1
"Yelp","yelp","Yelp is an American multinational corporation headquartered in San Francisco, California. It develops, hosts and markets Yelp.com and the Yelp mobile app, which publish crowd-sourced reviews about local businesses, as well as the online reservation service SeatMe and online food-delivery service Eat24.",55,"4.2",55,"4.2",48,"3.7",63,"4.8","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397180386/09584e0d514d5c5e6f68efa20b88c263.png","c58",13
"Microsoft","microsoft","Microsoft, a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.",71,"4.2",68,"4.0",66,"3.9",75,"4.4","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397182206/6835990abacfb4d14ecdbfc87641e469.jpg","c27",17
"Mosaic","mosaic",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c305",1
"Farm Business Consultants","farm-business-consultants",,4,"2.0",4,"2.0",3,"1.5",7,"3.5",,"c253",2
"SAP","sap","SAP is a technology company that develops enterprise application software for companies and industries across diverse sectors.",23,"3.8",21,"3.5",21,"3.5",29,"4.8","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1445874684/epyk35ihqb0zakhvmnea.jpg","c39",6
"Imagine Communications","imagine-communications",,11,"3.7",12,"4.0",11,"3.7",13,"4.3",,"c224",3
"Facebook","facebook","Facebook is an online social networking service that enables its users to connect with friends and family as well as make new connections.",90,"4.3",85,"4.0",83,"4.0",88,"4.2","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1408491700/ypqf483smhnqo0rh6mff.png","c14",21
"Amazon","amazon","Amazon.com is an international e-commerce website for consumers, sellers, and content creators.",39,"3.9",44,"4.4",39,"3.9",39,"3.9","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1475674676/ashnt44seqheejrzougf.jpg","c4",10
"National University of Singapore","national-university-of-singapore",,1,"1.0",1,"1.0",2,"2.0",1,"1.0",,"c182",1
"Hubdoc","hubdoc",,10,"5.0",8,"4.0",9,"4.5",10,"5.0",,"c331",2
"Hewlett-Packard Enterprise ","hp","",5,"5.0",5,"5.0",4,"4.0",5,"5.0","https://pbs.twimg.com/profile_images/614447038319570944/h_z507OY_400x400.jpg","c192",1
"Canada Pension Plan Investment Board","canada-pension-plan-investment-board","CPPIB is a Canadian Crown corporation established by way of the 1997 Canada Pension Plan Investment Board Act, to oversee and invest the funds contributed to and held by the Canada Pension Plan (CPP).",9,"4.5",9,"4.5",9,"4.5",10,"5.0","https://media.glassdoor.com/sqll/349879/cpp-investment-board-squarelogo-1479839395260.png","c72",2
"InFlight Corporation","inflight-corporation",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c306",1
"Hulu","hulu","Hulu is an online video service offering hit shows, movies and documentaries through its website, Hulu.com, and other destination sites.",10,"5.0",10,"5.0",8,"4.0",10,"5.0","https://pbs.twimg.com/profile_images/747482214011568129/Wq3Edi4r_400x400.jpg","c19",2
"Jane Street Capital","jane-street-capital","Jane Street Capital is a global proprietary trading firm that operates in New York City, London, and Hong Kong with around 500 employees.",10,"5.0",10,"5.0",9,"4.5",8,"4.0","https://media.glassdoor.com/sqll/255549/jane-street-squarelogo-1384201197714.png","c23",2
"ClickTime","clicktime","",5,"5.0",5,"5.0",5,"5.0",5,"5.0","https://pbs.twimg.com/profile_images/651105115047227392/XiQkwC1S_400x400.png","c193",1
"Zanbato","zanbato",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c366",1
"Twitch","twitch","Twitch is a social video platform for gamers.",14,"4.7",15,"5.0",13,"4.3",15,"5.0","https://pbs.twimg.com/profile_images/2349866958/m9pjwl1x1n3nvzf8x8rc_400x400.png","c49",3
"SMART Technologies","smart-technologies","SMART Technologies develops interactive whiteboards and group collaboration tools for classrooms and meeting rooms.",13,"4.3",14,"4.7",15,"5.0",15,"5.0","https://pbs.twimg.com/profile_images/793485665962827776/VowLN0hm_400x400.jpg","c99",3
"Maple Leaf Foods","maple-leaf-foods",,2,"2.0",3,"3.0",1,"1.0",4,"4.0",,"c255",1
"Smile.io","smileio",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c383",1
"Genesys","genesys",,9,"3.0",8,"2.7",7,"2.3",11,"3.7",,"c222",3
"Kira Systems","kira-systems",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c256",1
"Edisoft Inc","edisoft-inc",,2,"2.0",1,"1.0",2,"2.0",2,"2.0",,"c223",1
"Wave Computing","wave-computing",,5,"5.0",4,"4.0",5,"5.0",5,"5.0",,"c308",1
"AlertDriving","alertdriving",,2,"2.0",3,"3.0",1,"1.0",2,"2.0",,"c327",1
"Expedia","expedia",,4,"4.0",4,"4.0",3,"3.0",5,"5.0",,"c347",1
"PCL Constructors Canada Inc","pcl-constructors-canada-inc",,4,"4.0",5,"5.0",4,"4.0",5,"5.0",,"c257",1
"Smith + Andersen","smith-andersen",,5,"5.0",5,"5.0",5,"5.0",4,"4.0",,"c225",1
"Bread Finance","bread-finance",,3,"3.0",3,"3.0",4,"4.0",2,"2.0",,"c309",1
"Clearpath","clearpath",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c226",1
"Jan Kelley","jan-kelley",,4,"4.0",2,"2.0",4,"4.0",5,"5.0",,"c258",1
"Snowflake","snowflake",,10,"5.0",10,"5.0",10,"5.0",9,"4.5",,"c221",2
"Work Market","work-market",,5,"5.0",5,"5.0",4,"4.0",5,"5.0",,"c227",1
"Addepar","addepar","Addepar is a cloud-based platform connecting a user's financial data in a single repository.",10,"5.0",10,"5.0",10,"5.0",8,"4.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397750444/305d77a42cd390ae3705e20f63bb598e.gif","c2",2
"PointClickCare","pointclickcare",,5,"5.0",5,"5.0",4,"4.0",5,"5.0",,"c315",1
"Hootsuite","hootsuite","Hootsuite is the most widely used platform for managing social media, loved by over 10 million people around the globe.",22,"3.7",21,"3.5",18,"3.0",25,"4.2","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1409850427/qsulqp9faompqqzmr0nb.jpg","c111",6
"Rogers Communications","rogers-communications",,5,"5.0",5,"5.0",4,"4.0",5,"5.0",,"c280",1
"Hewlett Packard Enterprise ","hewlett-packard-enterprise",,4,"4.0",4,"4.0",4,"4.0",5,"5.0",,"c289",1
"American Express","american-express","",9,"3.0",7,"2.3",9,"3.0",11,"3.7","https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAfgAAAAJDMxMWQyYjAyLTU5ZDktNDIwOS04OGM0LTg1NzQ2NmFhZTAwNA.png","c130",3
"Scotiabank","scotiabank","Scotiabank is a Canadian multinational bank. It is the third largest bank in Canada by deposits and market capitalization.",16,"3.2",13,"2.6",13,"2.6",24,"4.8","https://pbs.twimg.com/profile_images/776827804851793920/ffsVSlBO_400x400.jpg","c194",5
"SpaceX","spacex","Space Exploration Technologies Corporation, better known as SpaceX, is an American aerospace manufacturer and space transport services company headquartered in Hawthorne, California, United States.",0,"0.0",0,"0.0",0,"0.0",0,"0.0","https://static1.squarespace.com/static/556cd56de4b0728bb8d2e2c9/t/57b5085c9f745661cd6ce926/1471481950950/spacex_logo_square.png?format=500w","c43",0
"TribalScale","tribalscale","TribalScale is a mobile first company that specializes in connected devices and the Internet of Things. ",11,"3.7",10,"3.3",12,"4.0",9,"3.0","https://pbs.twimg.com/profile_images/702548857159340033/uojYxo2T.png","c173",3
"Sensibill","sensibill",,9,"4.5",10,"5.0",8,"4.0",8,"4.0",,"c311",2
"Relic Entertainment","relic-entertainment","Relic Entertainment is a Canadian video game developer founded in 1997. The studio specializes in PC real-time strategy games and is known for series such as Homeworld, Warhammer 40,000: Dawn of War, and Company of Heroes.",4,"4.0",3,"3.0",3,"3.0",5,"5.0","https://pbs.twimg.com/profile_images/623612511518986244/Bj80hIdD.png","c177",1
"Focal Systems","focal-systems",,5,"5.0",5,"5.0",5,"5.0",3,"3.0",,"c348",1
"Big Viking Games","big-viking-games","Big Viking Games builds mobile & social games. We also often use HTML5 to create & pioneer incredible new game experiences!",5,"5.0",3,"3.0",5,"5.0",3,"3.0","https://pbs.twimg.com/profile_images/378800000757381247/138dc20ef940ca60d5c9feecd42e6634_400x400.jpeg","c180",1
"Qualcomm","qualcomm","Qualcomm is an American multinational semiconductor and telecommunications equipment company that designs and markets wireless telecommunications products and services.",0,"0.0",0,"0.0",0,"0.0",0,"0.0","https://pbs.twimg.com/profile_images/785996869377765376/qQk8Z2z8.jpg","c35",0
"Prodigy Game","prodigy-game","Prodigy is a free, self-paced math game for children between the grades 1 to 8.",5,"5.0",5,"5.0",5,"5.0",5,"5.0","https://prodigygame.com/assets/images/logo/og-image.jpg","c181",1
"Kimberly Clark","kimberly-clark",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c259",1
"Canadian Index of Wellbeing","canadian-index-of-wellbeing","The Canadian Index of Wellbeing is a composite index, composed of eight interconnected domains that measures stability and change in the wellbeing of Canadians over time.",5,"5.0",5,"5.0",5,"5.0",4,"4.0","https://upload.wikimedia.org/wikipedia/en/0/0e/Canadian_Index_of_Wellbeing_Logo.png","c145",1
"Matcor Matsu","matcor-matsu",,2,"2.0",2,"2.0",1,"1.0",4,"4.0",,"c235",1
"Paypal","paypal","PayPal Holdings, Inc. is an American company operating a worldwide online payments system that supports online money transfers and serves as an electronic alternative to traditional paper methods like checks and money orders.",0,"0.0",0,"0.0",0,"0.0",0,"0.0","https://pbs.twimg.com/profile_images/615564498410156032/voZWCZGc.jpg","c33",0
"Index Exchange","index-exchange",,6,"3.0",6,"3.0",6,"3.0",9,"4.5",,"c316",2
"Systemgroup Consulting","systemgroup-consulting","Systemgroup Consulting is a team of business and technology professionals who are passionate about helping clients realize their vision.",7,"3.5",7,"3.5",8,"4.0",5,"2.5","https://media.glassdoor.com/sqll/387513/systemgroup-squarelogo.png","c164",2
"Smucker Foods Of Canada Corporation","smucker-foods-of-canada-corporation","Smucker's is an American manufacturer of fruit spreads, ice cream toppings, beverages, shortening, peanut butter, and other products in North America.",4,"4.0",4,"4.0",3,"3.0",4,"4.0","https://pbs.twimg.com/profile_images/780416055554498560/qCN27xwg_400x400.jpg","c142",1
"Tulip","tulip",,5,"5.0",3,"3.0",3,"3.0",5,"5.0",,"c310",1
"Ceridian","ceridian",,10,"5.0",10,"5.0",9,"4.5",10,"5.0",,"c290",2
"Hughes","hughes",,4,"4.0",5,"5.0",4,"4.0",4,"4.0",,"c195",1
"Premise Data","premise-data",,4,"4.0",4,"4.0",5,"5.0",4,"4.0",,"c240",1
"Credit Karma","credit-karma",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c378",1
"Fundserv","fundserv",,7,"3.5",8,"4.0",4,"2.0",9,"4.5",,"c228",2
"York Region","york-region","",7,"3.5",8,"4.0",6,"3.0",10,"5.0","https://pbs.twimg.com/profile_images/805861223367458816/6Oo1sIcJ_400x400.jpg","c151",2
"Bell","bell",,5,"5.0",4,"4.0",5,"5.0",5,"5.0",,"c355",1
"Jet Propulsion Laboratory","jpl","The Jet Propulsion Laboratory is a federally funded research and development center and NASA field center. The laboratory's primary function is the construction and operation of planetary robotic spacecraft, though it also conducts Earth-orbit and astronomy missions.",4,"4.0",4,"4.0",4,"4.0",5,"5.0","https://s-media-cache-ak0.pinimg.com/736x/64/c3/df/64c3dffbbdbbba6c0b679dddca2e4366.jpg","c196",1
"Hearsay Systems","hearsay-systems","Hearsay Systems and its Hearsay 360 platform unifies the advisor-client experience so financial advisors and insurance agents can build stronger relationships with clients by delivering the right message on the right digital channel. ",16,"4.0",13,"3.3",14,"3.5",20,"5.0","https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAkUAAAAJDVmNzdlMjg3LThiZTItNGFjMC1iYTc5LWZjZWM3MTdhMDJjNw.png","c155",4
"Visier","visier",,5,"5.0",4,"4.0",5,"5.0",5,"5.0",,"c197",1
"Virtek Vision","virtek-vision",,5,"5.0",5,"5.0",4,"4.0",5,"5.0",,"c379",1
"Global Trading Systems","global-trading-systems",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c332",1
"Lifion by ADP","lifion-by-adp",,11,"3.7",11,"3.7",10,"3.3",11,"3.7",,"c367",3
"Wish","wish","",30,"4.3",29,"4.1",30,"4.3",30,"4.3","https://pbs.twimg.com/profile_images/781242203863601153/OBn66coh_400x400.jpg","c104",7
